"","DW_20180105_013","DW_20180105_037","DW_20180105_061","DW_20180105_097","DW_20180105_121","DW_20180105_019","DW_20180105_043","DW_20180105_067","DW_20180105_103","DW_20180105_127"
"Label","N2","N2","N2","N2","N2","swip10","swip10","swip10","swip10","swip10"
"260.160639343849/49.50189681312","4333179.667","463713.6667","6134398.667","3015786.667","2628967.667","921558.6667","776689","1920143.667","1452988.333","1858300"
"260.196820105933/79.9459954728197","3804366","2894550.667","13046677.33","4712308","3400388","3185480","5788184.667","5097027.333","4803673.333","5217539"
"260.472448846913/118.011293000648","122718.8333","122718.8333","2463735","122718.8333","122718.8333","122718.8333","122718.8333","122718.8333","1256302","2281843"
"260.476994635074/116.024841818943","122718.8333","122718.8333","4812213","122718.8333","122718.8333","122718.8333","6264206.5","1755688.5","1167328.5","2727719"
"260.647962417928/112.779779594191","2830704.333","2572562.667","4240905.667","2714460","2507668.333","2126865","152784114.5","4167997","5353100.667","5356953.667"
"260.927135903591/20.7344972389107","122718.8333","369692","187346.5","357360.3333","263494.5","289808","210954","236495","259408","197440.5"
"260.948762971934/82.424893770665","122718.8333","122718.8333","995675","122718.8333","452248","122718.8333","2940585.5","122718.8333","122718.8333","4079108.5"
"260.948852175841/47.3099783455889","397993.5","4652983.667","122718.8333","122718.8333","115059","122718.8333","785191.5","122718.8333","560965.3333","4371878"
"261.036872058047/107.169058039431","5019937","6172042","7150154.333","6027043.667","6211320.333","2190336.333","2409531","2038252.667","2639015","2765088"
"261.036889490353/245.939698652378","1630733.667","2221586.667","52073955.33","2856130.667","2213832.667","3631406.667","22647992.67","13814214.67","14341368.67","28639543.33"
"261.09055429088/130.434511318299","1034312.333","796234","1509495.333","1244530.667","645748.3333","737572.3333","12629853.67","226842.5","1726282.5","1347622.5"
"261.109879409369/22.3918210736576","278981","340685","255411.6667","302430","287466.6667","306267.6667","25349374.67","298461.3333","286052.3333","378602.6667"
"261.148725266532/54.2943318493224","372871.3333","447002.3333","122718.8333","689922","924045.6667","122718.8333","17428015","1026064.5","122718.8333","66713.66667"
"261.597145279209/135.410723501296","122718.8333","2361060.667","122718.8333","1881362.667","1281723","2525896","122718.8333","122718.8333","122718.8333","122718.8333"
"261.623409918059/117.021154893443","122718.8333","122718.8333","5770266.333","122718.8333","122718.8333","7370241.5","3038195","1963737.333","2345873","2336671"
"261.770405243007/85.1630436351338","122718.8333","122718.8333","122718.8333","122718.8333","122718.8333","122718.8333","7691565","122718.8333","122718.8333","1766688.5"
"261.907803134903/139.456302480619","122718.8333","122718.8333","174586","122718.8333","122718.8333","122718.8333","122718.8333","122718.8333","122718.8333","150686.5"
"261.910007900726/136.762819910581","17852544","21650645","22126742","19941725","19774988.67","13130609.33","13804075","12828287.67","12272717.67","13130652.33"
"261.928184143407/138.37263578444","2893517.5","3336913","122718.8333","3108580.667","3259935.667","3025615","4416688.5","2819009","3026902.333","122718.8333"
"261.983464190503/153.171070465082","3141500.667","3177812.5","4476382","3009756","2499448.667","1620713.333","3937002.5","3556415.5","3626970.333","2228867.5"
"261.98352113403/281.726766327328","1019158.667","769379.3333","122718.8333","601586.6667","674537.3333","954700.6667","1398343","1112742.333","697448","122718.8333"
"262.118767903572/42.4309894530408","465209.6667","122718.8333","514035.3333","182985.6667","120349.6667","375190.3333","557379.5","137612","239502","286621.6667"
"262.134211809367/43.7669981050319","3159290.333","1424617.333","1185637","436216","635056","680634.3333","1615826.333","1601689.667","564177.6667","788912.3333"
"262.143847636655/111.443538188068","423585.6667","569207.3333","231018.3333","1168770.667","1575872.333","637851.6667","701896","650358.3333","789742.6667","766945.3333"
"262.165339121522/226.400360585141","611132.3333","801040.6667","625716.6667","1265496.333","632798","1133355.667","1048121","777141.6667","683931.3333","1118795.333"
"262.289364176495/116.851928047936","122718.8333","5433742.5","1921638","122718.8333","122718.8333","16756827.5","122718.8333","2940362.667","1712911.667","2101484.667"
"262.88680112263/134.269503384887","2038284.5","3036182.667","1581201","1151290","2737896.333","1192353","122718.8333","1913745.5","122718.8333","122718.8333"
"262.974100411447/144.104543414929","122718.8333","122718.8333","122718.8333","1914821","1467663","122718.8333","4153220","122718.8333","122718.8333","4654205.5"
"263.013969176859/174.560934688904","6954498.667","5401397","49808709","6117619.667","5998629.333","2986476.333","17484570","17661548.67","19966884.67","11690982.67"
"263.087289424575/168.919380084299","5142468.667","2469182","11330893","1376557.333","1379508","4021971.333","6331665","5944446.333","8130689.333","4428216"
