"","DW_20180105_013","DW_20180105_037","DW_20180105_061","DW_20180105_097","DW_20180105_121","DW_20180105_019","DW_20180105_043","DW_20180105_067","DW_20180105_103","DW_20180105_127"
"Label","N2","N2","N2","N2","N2","swip10","swip10","swip10","swip10","swip10"
"254.900941391611/97.365478712093","-1.1799209","-0.9032514"," 0.7520356","-1.3675512","-0.6310515","-0.2785740"," 0.2894471"," 1.2579213"," 1.2431312"," 0.8178138"
"254.924844888595/158.84053875816","-0.09431915"," 1.43599170","-0.38823185"," 1.01581092"," 1.11549119"," 0.77378414","-1.15421102","-0.63802199","-0.91208290","-1.15421102"
"255.097623704016/46.993492558546"," 0.90586429"," 0.10167516"," 0.74781052"," 0.93032107"," 1.20028762","-0.01917709","-1.52914781","-0.35969743","-1.65210644","-0.32582990"
"255.416844243381/171.927436016865","-0.9329734","-0.9716099"," 0.8962637","-0.9716099","-0.8782477","-0.9716099"," 0.8206708"," 1.0793848"," 1.0706282"," 0.8591034"
"255.978070658626/72.7484873158264"," 0.84419934"," 1.05010391"," 0.03265536"," 0.91387660"," 1.35677986","-0.18406759","-0.51960403","-1.36655960","-1.25511488","-0.87226895"
"256.175467045825/25.3552850810316"," 2.58996277"," 0.29172003","-0.93694971","-0.05712761","-0.59234056","-0.08824511"," 0.32329850","-0.48612015","-0.32061733","-0.72358084"
"256.811255265483/63.9714442602164"," 0.36682279"," 0.54270742"," 0.28394138"," 0.56082346"," 0.43375799"," 0.85936127","-1.83844772"," 0.69632472","-0.06684359","-1.83844772"
"256.85025962654/57.1680695197029"," 1.4394365","-0.6210538","-0.6210538","-0.6210538"," 1.4561330"," 1.4518072","-0.6210538","-0.6210538","-0.6210538","-0.6210538"
"256.940969139459/67.0429708143216","-1.4513979"," 1.3513310","-0.4486769","-1.4909438"," 0.4584365"," 0.9460549","-0.2866785"," 1.1505267","-0.3444382"," 0.1157862"
"257.074276765827/240.549253893504"," 1.93415547","-1.46702256"," 0.57484958"," 0.17435062","-1.28119588"," 0.29276758"," 0.03501888","-0.89599340"," 0.40151239"," 0.23155732"
"257.074444896574/84.606784837135"," 1.0044528","-1.4410491"," 0.2429439","-1.3709406","-1.4089141"," 0.3081056"," 0.6586970"," 0.4286378"," 0.6601435"," 0.9179231"
"257.148726871491/60.5116418246889"," 0.8888487"," 0.4909135"," 1.5015435"," 0.0111849"," 1.1308795","-0.4550213","-0.3027726","-1.5475364","-0.4944036","-1.2236363"
"257.523525753418/157.532012854721","-0.22039205","-0.39496993"," 1.99079253","-0.36620882","-0.01306339","-1.22291961"," 0.43013227","-1.35673393"," 0.07096637"," 1.08239657"
"257.994646215024/54.0483715816731"," 0.6274009"," 0.1401676"," 0.4632107"," 1.2166144"," 1.7078142","-1.0959998","-1.2984577","-0.5030755","-0.4801584","-0.7775166"
