"","DW_20180105_014","DW_20180105_038","DW_20180105_062","DW_20180105_098","DW_20180105_122","DW_20180105_020","DW_20180105_044","DW_20180105_068","DW_20180105_104","DW_20180105_128"
"Label","n2","n2","n2","n2","n2","swip10","swip10","swip10","swip10","swip10"
"125.675510200351/202.143393450708","640739.6667","1462.078125","1462.078125","1462.078125","731.0390625","99170.5","23393.25","11696.625","5848.3125","5848.3125"
"126.926628332816/216.34690214347","506925.3333","793925.3333","440371","534582.6667","633757.3333","533693","344784","596702","1441144","906015.6667"
"127.001227431141/256.204606936118","37177655.67","43322610.67","40972468","8418378.333","28453484","12565814.33","31139294","24961671.33","12750782.33","142905680.7"
"127.010053868031/194.811958466667","2924.15625","1462.078125","1462.078125","1462.078125","731.0390625","46786.5","23393.25","260019","5848.3125","172912.5"
"127.320193024749/264.311005419173","1186572.333","2677347","1501859.333","1987179","1665228.333","852286","6409791.5","1694835.667","1509212.333","1942968"
"127.71655356488/186.701169356229","208174","186888","275168.3333","400248.6667","364959","678889.6667","351797","320125.6667","397112.3333","774749"
"128.035352920412/23.2035682829998","15253951","14408902.33","12368094.33","12434357","17043976.33","3798897.667","3384872.333","4823260.333","9531764.333","5138188"
"128.079774900039/41.513838469115","1151720","1142695","1286658.333","1235777.667","1410495","795885.6667","1216162.5","890589","1131628.333","1401086.667"
"128.113645612122/221.992515317587","973152","431638.6667","547857","334439","389501.3333","502714","561827","730899","908931","1181823.667"
"128.914573486745/230.826201933562","2100620.667","3117760.667","1982029.667","1868883.667","3473563.333","1167881.667","5057473.333","3250796.333","2668867","2788945.333"
"129.008063899384/84.4331704142095","279397","326136","261634.3333","389398.3333","562125","46786.5","502979.5","417173","176801.6667","151450"
"129.017057812493/126.566526854257","200189.6667","172550.3333","594378.6667","736033","546249.6667","391163.3333","631119.5","683239.3333","406310.6667","594536.3333"
"129.019394827053/38.2212926610775","6865998","8149931.333","7419151.333","11151383","11844139.33","2150738.667","1783104","1860097","1926127","2192674.333"
"129.055780707897/68.3218966465239","32942013","26829635.67","31679367.67","35532238.67","34205007","46786.5","15895016.67","30855118.33","38881680.5","38914443.67"
"129.476531724486/39.2391927942613","2924.15625","1205458","2232165.5","1462.078125","1214477","2773667","23393.25","1220895.5","5848.3125","5848.3125"
"129.48118626982/258.301371520104","2924.15625","639566","695372","950717","731.0390625","46786.5","23393.25","1165928","1109606.5","5848.3125"
"129.48740188044/63.2595696810029","2924.15625","1462.078125","1462.078125","1959481.5","154473.3333","46786.5","23393.25","11696.625","5848.3125","1862971.5"
"129.722301277498/201.832804994975","1653983.333","1585896.667","2546909.333","1830300","1777916","908388.6667","524739","2883639.667","403606.6667","2167015.333"
"129.722360573113/249.34721092176","2079811.667","2792677.667","2172747","2363809.333","2239783.333","362580.3333","3886108","2721011.667","2158727","1482095.333"
"130.050992639501/21.4948098388683","362853.3333","369151.3333","618049","657216.3333","590482.6667","1019528.667","150054","503610.3333","192727","144444.3333"
"130.057178500994/41.365297439565","3243388","3043560.667","3944467","3176086","4089140","2475271.333","5540828.333","2882586.333","3033431.667","3315888.333"
"130.08738990669/24.9911509384216","18188024.67","14960055","22010280.33","18655145.67","26687296.67","4192440","4316599","7692112.667","8366939","8489332.667"
"130.129960353349/241.590026065007","813570.3333","1256267.333","860797.3333","1056138","690884.6667","460592.3333","1235069.333","848062.6667","517610.6667","873453.3333"
"130.538348920721/221.974410179675","1213750.667","2242289.333","1086041.667","932484.6667","1643761.667","611443.6667","340829.6667","1010557.667","1234877.333","1803658.333"
"130.538417180283/249.358396770334","2173698.667","2497354","1479976.667","2402458.333","2250960.667","321087","3340918.5","2619782.667","2468006","2410188.333"
"130.951796079559/52.4083694846227","79855","362456.5","515879.5","909400.3333","52470.5","2127073.667","23393.25","9477","5640","203008"
"131.044605140408/25.9887013949155","1632129.333","1269202.667","1901860","1086800.333","1823675.333","1064561","2047535.333","1641457.667","2397285.667","3140661.333"
"131.071361773163/47.2980081390364","7643178","4299156.667","8355574.667","9961570.667","7725504.333","5799889.333","4248807.333","7670888.667","9161016","10782064.67"
